player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Chris Lawson Jr.,174995,WR,APP STATE,2,0,108,61.0,100.0,8,44.4,8,62.0,0,100.0,18,18,61.5,100.0,8,44.4,8
Brandon Nazworth,204595,T,AIR FORCE,1,0,101,58.6,100.0,11,61.1,11,57.6,0,100.0,18,18,58.5,100.0,3,16.7,3
Ja'Carree Kelly,173611,WR,DELAWARE,2,0,151,57.3,100.0,7,38.9,7,52.7,0,100.0,18,18,52.1,100.0,11,61.1,11
Simon Kibbee,190962,TE,AIR FORCE,1,0,101,81.3,100.0,11,61.1,11,81.4,0,100.0,18,18,59.2,100.0,3,16.7,3
Hayden Eligon II,183694,WR,NWESTERN,1,0,256,56.7,100.0,9,50.0,9,57.1,0,100.0,18,18,59.0,100.0,8,44.4,8
Greyson Labiad,198423,TE,FLORIDA ST,1,0,167,55.9,100.0,5,29.4,5,56.4,0,100.0,17,17,58.8,100.0,12,70.6,12
Brady Jones,200039,QB,W MICHIGAN,2,0,347,60.0,90.9,10,58.8,11,60.0,0,81.0,17,21,60.0,77.8,7,41.2,9
Anthony Olsen,163252,TE,BYU,1,0,128,60.0,100.0,1,5.9,1,79.1,0,100.0,17,17,81.0,100.0,15,88.2,15
Jalil Farooq,144623,WR,MARYLAND,2,0,215,62.0,100.0,9,52.9,9,61.2,0,100.0,17,17,61.0,100.0,7,41.2,7
Gunnar Gray,171202,QB,BUFFALO,1,0,126,60.0,100.0,3,17.6,3,60.0,0,100.0,17,17,60.0,100.0,14,82.4,14
Xavier Loyd,144596,WR,MISSOURI,2,0,229,60.7,100.0,6,35.3,6,60.8,0,100.0,17,17,60.4,100.0,11,64.7,11
Jacob Emmers,190724,WR,TULSA,2,0,320,60.0,100.0,3,17.6,3,62.2,0,94.4,17,18,62.2,100.0,14,82.4,14
Troy Everett,147024,C,OKLAHOMA,1,0,261,62.4,100.0,11,64.7,11,55.4,0,100.0,17,17,64.3,100.0,6,35.3,6
Jaden Richardson,183626,WR,USC,2,0,326,60.6,100.0,10,58.8,10,60.8,0,100.0,17,17,60.3,100.0,7,41.2,7
Mabrey Mettauer,183668,QB,SM HOUSTON,2,0,281,60.0,80.0,8,47.1,10,60.0,0,70.8,17,24,60.0,90.0,9,52.9,10
Tyson Mobley,122350,WR,LIBERTY,1,0,206,60.0,100.0,4,23.5,4,61.8,0,100.0,17,17,61.9,100.0,12,70.6,12
Devon Tauaefa,158190,TE,HAWAII,2,0,180,59.4,100.0,5,29.4,5,55.2,0,100.0,17,17,54.7,100.0,11,64.7,11
Eli Jacon-Duffy,191009,TE,BOWL GREEN,2,0,122,54.3,100.0,14,82.4,14,49.4,0,100.0,17,17,51.2,100.0,2,11.8,2
Takye Heath,174787,WR,VA TECH,1,0,337,60.0,100.0,2,11.8,2,58.4,0,100.0,17,17,58.2,100.0,13,76.5,13
Amarion Berry,190603,C,N TEXAS,1,0,251,59.6,100.0,6,35.3,6,58.9,0,100.0,17,17,58.6,100.0,9,52.9,9
Kaleb Edwards,204602,TE,ALABAMA,2,0,103,54.0,100.0,8,47.1,8,45.7,0,100.0,17,17,44.9,100.0,9,52.9,9
Charlie Coenen,157678,WR,WYOMING,2,0,351,60.1,100.0,8,47.1,8,61.0,0,100.0,17,17,61.2,100.0,9,52.9,9
Jesse Watson,183727,WR,PURDUE,2,0,273,54.7,100.0,8,47.1,8,72.1,0,100.0,17,17,82.8,100.0,9,52.9,9
Sam West,173392,TE,MISS STATE,2,0,227,52.9,100.0,9,52.9,9,66.1,0,100.0,17,17,67.0,100.0,6,35.3,6
