player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Beau Pribula,164182,QB,PENN STATE,1,2,0,1,100.0,18,0,18,0,0,0,6,0.0,1,1,266,0,0,65.9,59.0,68.1,60.0,,,60.5,60.0,18,0,0,0,0,4,0,0,0,2,0,18,6,3.0,9.0,,2
Anthony Evans III,173530,WR,GEORGIA,1,2,0,0,0.0,0,0,-2,0,0,0,3,0.0,0,0,173,1,0,15.0,43.2,73.7,,,54.6,45.0,60.3,5,0,0,0,8,6,0,0,0,2,0,-2,3,1.5,-1.0,0.0,0
Brett Gabbert,97404,QB,MIAMI OH,1,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,221,0,0,68.5,40.7,74.7,40.9,,,57.0,60.0,7,0,0,0,0,12,7,1,0,1,0,6,0,0.0,3.0,,0
Chandler Fields,97286,QB,LA LAFAYET,1,2,0,0,0.0,0,0,4,0,0,0,1,0.0,1,0,207,0,0,66.3,75.1,71.8,80.0,,,56.4,60.0,10,0,0,0,0,8,10,1,0,1,0,14,3,1.5,7.0,,1
Kyson Brown,176525,HB,ARIZONA ST,1,2,0,0,0.0,0,0,2,0,1,0,1,12.5,0,0,110,0,1,66.9,66.5,73.1,,,83.3,54.3,59.9,2,0,13,2,5,7,0,0,2,4,0,2,1,0.5,1.0,2.6,1
George Hart III,146269,HB,W KENTUCKY,1,2,0,0,0.0,0,0,10,0,0,0,8,0.0,0,1,346,0,1,65.5,64.5,72.1,,79.3,57.1,64.1,59.8,8,0,0,0,6,4,0,0,0,2,0,10,8,4.0,5.0,0.0,1
Nolan McCormick,145880,HB,OHIO,1,2,0,0,0.0,0,0,14,0,0,0,4,0.0,0,1,259,0,2,65.5,73.5,69.1,,,,69.8,60.0,9,0,0,0,0,4,0,0,0,2,0,14,4,2.0,7.0,,0
Kylin James,150195,HB,UNLV,1,2,1,1,90.5,86,0,95,0,0,1,15,375.0,1,1,325,0,1,67.3,82.4,69.9,,73.4,58.4,79.9,60.0,86,0,0,0,2,4,0,0,0,2,0,95,15,7.5,47.5,0.0,1
Cash Jones,155211,HB,GEORGIA,1,2,0,0,0.0,0,0,8,0,0,0,5,0.0,0,1,173,0,0,65.5,60.0,72.2,,,52.6,64.5,58.6,4,0,0,0,8,4,0,0,0,2,0,8,5,2.5,4.0,0.0,2
Rickey Hunt Jr.,171350,HB,OHIO,1,1,1,0,0.0,0,0,-3,0,0,1,3,300.0,0,0,259,0,0,,59.8,66.1,,,58.9,,60.0,-3,0,0,0,2,1,0,0,0,1,0,-3,3,3.0,-3.0,0.0,0
Arch Manning,173162,QB,TEXAS,1,1,0,0,0.0,0,0,5,0,0,0,3,0.0,0,0,311,0,1,62.5,69.7,66.5,,,,63.4,60.0,5,0,0,0,0,2,0,0,0,1,0,5,3,3.0,5.0,,0
Yulkeith Brown,146985,WR,TULANE,1,1,0,0,0.0,0,0,2,0,0,0,2,0.0,0,0,319,0,0,66.0,54.9,0.0,,,61.3,59.6,41.9,2,1,30,3,18,9,0,0,4,4,0,2,2,2.0,2.0,1.67,1
Jacob De Jesus,174068,WR,UNLV,1,1,0,0,0.0,0,1,6,0,0,0,1,0.0,0,0,325,1,0,21.2,55.4,77.3,,,59.7,53.9,58.8,6,1,18,2,34,24,0,0,3,3,0,6,1,1.0,6.0,0.53,1
Aiden Flora,191300,HB,IOWA STATE,1,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,193,0,0,62.5,58.9,66.0,,,,59.6,60.0,-2,0,0,0,0,2,0,0,0,1,0,-2,0,0.0,-2.0,,1
Michael Mathison,100275,WR,W KENTUCKY,1,1,0,0,0.0,0,0,11,0,0,0,2,0.0,1,1,346,0,0,66.0,59.4,0.0,,,60.1,63.2,61.6,11,2,17,3,17,11,0,0,5,4,0,11,2,2.0,11.0,1.0,0
Nate Milanowski,158034,HB,MIAMI OH,1,1,0,0,0.0,0,0,2,0,0,0,4,0.0,0,0,221,0,0,62.5,59.1,65.5,,67.9,60.0,59.6,,2,0,0,0,1,1,0,0,0,1,0,2,4,4.0,2.0,0.0,1
Tyler Warren,129798,TE,PENN STATE,1,1,0,0,0.0,0,0,2,1,2,0,3,75.0,0,1,266,1,0,67.9,78.1,79.3,60.0,,71.1,63.3,80.2,2,0,84,7,42,30,0,0,12,8,0,2,3,3.0,2.0,2.0,0
Caden Veltkamp,156642,QB,W KENTUCKY,1,1,0,0,,0,0,0,0,0,0,1,0.0,0,0,346,2,1,27.7,61.6,76.5,61.1,,,59.4,60.0,0,0,0,0,0,23,0,0,0,1,0,0,1,1.0,0.0,,0
Dwight Phillips Jr.,191156,HB,GEORGIA,1,1,1,0,0.0,0,0,1,0,0,1,5,500.0,0,0,173,0,0,62.5,53.0,67.1,,,,57.6,60.0,1,0,0,0,0,3,0,0,0,1,0,1,5,5.0,1.0,,0
Carson Beck,124010,QB,GEORGIA,1,1,0,0,,0,1,0,0,0,0,0,0.0,0,0,173,1,0,23.8,43.0,73.5,42.3,,,59.9,60.0,0,2,0,0,0,9,0,0,0,1,0,0,0,0.0,0.0,,0
Brice Busch,158411,P,TULANE,1,1,0,0,,0,0,0,0,0,0,9,0.0,0,0,319,1,0,11.5,60.0,60.0,,,,60.0,,0,0,0,0,0,1,0,0,0,1,0,0,9,9.0,0.0,,0
Jaylin Noel,125155,WR,IOWA STATE,1,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,193,0,0,67.7,60.1,0.0,,,61.7,,61.4,2,1,64,5,39,19,0,0,6,6,0,2,1,1.0,2.0,1.64,0
Arnold Barnes III,169972,HB,TULANE,1,1,1,0,0.0,0,0,4,0,0,1,2,200.0,0,1,319,0,0,62.5,65.2,70.0,,75.4,56.6,63.3,,4,0,0,0,6,1,0,0,0,1,0,4,2,2.0,4.0,0.0,1
Tyrell Robinson,121607,HB,ARMY,1,1,0,0,,0,0,0,0,0,0,1,0.0,0,0,114,0,0,64.8,57.0,71.7,,,,58.8,58.3,0,0,0,0,0,11,0,0,0,1,0,0,1,1.0,0.0,,1
Logan Smothers,129713,QB,JVILLE ST,1,1,0,0,0.0,0,0,10,0,0,0,0,0.0,1,1,196,0,0,62.5,67.6,63.6,,,,63.1,,10,0,0,0,0,1,0,0,0,1,1,10,0,0.0,10.0,,1
Jake Rendina,171009,FB,ARMY,1,1,0,0,0.0,0,0,4,0,0,0,2,0.0,0,0,114,0,0,62.5,54.1,72.4,,,,58.5,53.8,4,0,0,0,0,15,0,0,0,1,0,4,2,2.0,4.0,,0
Coleman Owen,104969,WR,OHIO,1,1,1,0,0.0,0,0,4,0,0,1,5,83.3,0,0,259,0,1,22.3,78.0,77.2,,,75.7,63.4,62.2,4,0,73,5,28,40,0,0,9,6,0,4,5,5.0,4.0,2.61,0
