player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Kobe King,145097,LB,PENN STATE,1,1,0,50.0,0,0,266,0,0,65.4,70.2,76.4,54.7,73.6,82.7,0,0,0,0,10,0.0,0,0,0,64.6,1,0,0,60,0,30,64,2,0,0,2,0,0,62,6,28,2,4,7,0,2,0,0,10,9,10.0
Zakee Wheatley,145099,S,PENN STATE,1,1,0,50.0,0,0,266,0,0,63.2,66.2,78.4,,71.0,64.2,0,0,0,0,8,14.3,1,0,0,60.4,1,0,0,13,0,38,66,0,0,0,0,0,36,66,0,28,17,0,5,0,2,0,0,8,10,8.0
Jaylen Reed,145100,S,PENN STATE,1,2,0,50.0,0,0,266,0,0,64.4,68.8,76.8,,75.2,83.2,0,0,0,0,18,0.0,0,0,0,65.6,2,0,0,21,0,40,68,1,0,0,1,0,32,67,0,28,14,1,3,1,4,0,0,21,22,10.5
Jakobe Thomas,145309,S,TENNESSEE,1,0,0,100.0,0,0,307,0,0,43.0,47.8,69.6,,61.9,74.8,0,0,0,0,40,0.0,0,0,0,118.8,1,0,0,9,0,4,13,0,0,0,0,0,3,13,0,9,1,0,1,0,1,0,0,40,4,40.0
Trey Moore,145527,ED,TEXAS,1,0,0,0.0,0,0,311,0,0,63.6,64.8,79.2,65.2,57.4,73.7,1,2,0,0,,0.0,0,0,0,39.6,0,0,0,2,0,9,49,45,0,0,45,0,0,4,30,10,2,2,2,0,1,3,0,0,0,
Cale Sanders Jr.,146036,S,SMU,1,0,0,75.0,0,0,287,0,0,53.1,52.4,76.0,47.5,63.5,28.7,0,1,0,0,25,66.7,2,0,0,107.3,3,0,0,9,0,19,32,2,0,0,2,0,0,30,1,12,21,0,1,0,4,1,0,41,14,13.7
Jonathan Jefferson,146731,DI,SMU,1,0,0,,0,0,287,0,0,,65.9,73.3,58.6,66.0,72.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,20,20,4,10,1,5,0,0,4,16,0,2,2,0,0,0,0,0,0,
Tywone Malone Jr.,146832,DI,OHIO STATE,1,1,0,,0,0,260,0,0,,67.9,69.3,58.1,67.4,69.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,6,6,0,5,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,
Christian Charles,146944,S,TENNESSEE,1,1,0,100.0,0,0,307,0,0,63.4,65.1,72.9,,63.8,37.9,0,0,0,0,0,33.3,1,0,0,79.2,1,0,0,8,0,9,18,0,0,0,0,0,8,18,0,9,2,1,1,0,1,0,0,0,7,0.0
Marcus Burris Jr.,146987,DI,INDIANA,1,0,0,,0,0,190,0,0,,59.8,70.3,58.3,60.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,7,7,0,6,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,
