player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Lynel Billups-Williams,171271,WR,MIAMI OH,1,0.0,1,1,21.0,3.2,0,0,0.0,0.0,0,0,1,,1,0,0,221,83.6,53.8,58.4,57.6,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jordan Faison,171081,WR,NOTRE DAME,1,100.0,1,1,13.0,3.8,0,0,0.0,100.0,1,0,0,0.0,1,0,1,258,81.4,74.1,75.4,60.0,0,0,1,1,,118.8,0.0,0,0,0,0,0,0,0.0,40,40.0
Hollywood Smothers,173719,HB,NC STATE,1,100.0,1,1,-5.0,2.5,0,0,0.0,100.0,1,0,0,0.0,1,0,0,248,89.4,78.6,60.4,79.8,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,-4,-4.0
Jaylen King,170801,QB,FLORIDA ST,1,,0,1,,3.2,0,0,0.0,0.0,0,0,0,,1,0,0,167,67.5,70.7,60.0,67.6,0,0,1,0,,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Quin Smith,173880,WR,AIR FORCE,1,100.0,1,1,15.0,2.4,0,0,0.0,0.0,0,0,0,100.0,1,1,0,101,68.8,77.3,75.4,,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Cam Vaughn,170441,WR,W VIRGINIA,1,0.0,1,1,32.0,5.1,0,0,0.0,0.0,0,0,0,,1,0,0,343,37.1,65.0,50.1,57.9,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Semaj Morgan,174043,WR,MICHIGAN,1,0.0,1,1,27.0,3.0,0,0,0.0,0.0,0,0,0,,1,0,0,222,54.6,54.9,50.4,60.8,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Frank Covey IV,174054,WR,NWESTERN,1,0.0,1,1,30.0,3.1,0,0,0.0,0.0,0,0,0,,1,0,0,256,63.7,48.9,49.9,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
David Amador II,174085,WR,UTSA,3,100.0,1,1,25.0,2.37,0,0,0.0,100.0,1,0,0,0.0,3,0,1,331,55.4,71.1,73.8,53.9,0,0,3,1,,158.3,0.0,0,1,0,0,1,0,0.0,21,21.0
Michael Grant,170336,QB,FLORIDA ST,1,100.0,1,1,-1.0,2.1,0,0,0.0,100.0,1,0,2,0.0,2,0,1,167,9.2,29.6,28.8,,0,0,2,0,50.0,118.8,50.0,1,0,0,0,0,1,50.0,14,14.0
