player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
JaTravis Broughton,100391,CB,TCU,1,0,21.3,55.6,100.0,4.2,2.3,1,0,2,22.2,305,33.0,46.9,77.7,,82.2,85.3,0,45,0.0,0,1,2,140.0,5,24,24,0,5,9,2,130,22,6.2,26.0
Connor Soelle,100407,LB,OREGON,1,0,-1.0,100.0,100.0,10.0,10.0,0,0,0,0.0,264,71.8,74.4,71.4,,60.0,73.2,0,18,0.0,0,0,0,118.8,1,11,11,1,1,1,0,18,19,1.8,18.0
Jayden Simon,100454,DI,UCONN,1,0,,,7.7,,,0,0,0,,146,59.3,53.9,74.9,57.2,56.3,35.9,0,,,0,0,0,0.0,0,1,13,0,0,0,0,0,0,0.0,
Aeneas DiCosmo,100456,ED,VANDERBILT,1,0,,,6.3,,,0,0,0,,333,60.6,70.1,79.4,61.6,74.0,53.7,0,,100.0,1,0,0,0.0,0,2,32,1,0,0,0,0,0,0.0,
Marvin Ham II,100461,LB,ARK STATE,1,0,27.0,100.0,66.7,15.0,15.0,0,0,0,0.0,113,53.9,60.7,78.3,55.9,67.2,74.3,0,33,0.0,0,0,0,118.8,1,16,24,0,1,1,0,33,6,2.2,33.0
Daniel Heimuli,100485,LB,GA STATE,1,1,11.8,100.0,77.4,5.8,5.8,0,0,0,0.0,175,32.7,40.8,76.3,77.7,52.9,78.3,0,53,0.0,0,0,0,118.8,4,24,31,0,1,4,0,86,39,3.7,21.5
Alphonzo Tuputala,100487,LB,WASHINGTON,1,0,12.0,100.0,48.8,8.5,8.5,0,0,0,0.0,340,51.1,58.3,0.0,63.1,68.7,82.4,0,21,,0,0,1,118.8,2,20,41,1,0,2,0,29,5,1.7,14.5
Kyle Thornton,100494,LB,WASH STATE,1,1,14.0,66.7,86.1,15.5,10.3,0,0,0,0.0,341,55.7,54.5,74.6,52.1,58.5,78.8,0,14,0.0,0,0,0,79.9,2,31,36,1,1,3,0,16,2,0.5,8.0
Curley Young Jr.,100559,LB,JVILLE ST,1,0,7.5,100.0,53.8,3.5,3.5,0,0,0,0.0,196,33.7,47.5,73.8,62.5,62.7,78.6,0,34,,0,0,0,158.3,2,7,13,0,0,2,1,49,34,7.0,24.5
Craig Woodson,100612,S,CAL,1,0,32.0,0.0,100.0,,5.0,0,0,1,100.0,130,59.9,62.1,70.5,,61.4,80.5,0,,0.0,0,0,1,39.6,0,6,6,0,1,1,0,0,0,0.0,
Kain Medrano,100655,LB,UCLA,1,2,1.7,100.0,65.6,7.0,7.0,0,0,0,0.0,324,38.8,49.9,0.0,63.7,66.5,56.8,0,14,33.3,1,0,1,153.5,3,21,32,0,0,3,1,34,29,1.6,11.3
Tre'shon Devones,100673,CB,DUKE,1,1,16.0,50.0,100.0,17.0,8.5,0,0,0,0.0,154,62.9,60.9,74.3,,54.0,76.6,0,26,0.0,0,0,0,95.8,1,17,17,0,1,2,0,26,16,1.5,26.0
Eddie Williams,100742,LB,FAU,1,0,2.5,100.0,100.0,8.0,8.0,0,0,0,0.0,165,61.9,67.0,75.1,,75.2,80.8,0,39,0.0,0,0,0,118.8,4,35,35,3,3,4,0,59,49,1.8,14.8
