player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Demarko Williams,146825,CB,W KENTUCKY,7,0,0,346,74.1,1,2,7,4.8,28.6,2,2,21.4,0,187,9,3,0,75.7,1,0,3,4.1,33.3,1,16.7,0,74,3,1
Kyndrich Breedlove,146827,CB,ARIZONA ST,9,0,0,110,69.0,0,1,9,3.8,22.2,2,0,5.6,0,266,10,1,0,57.8,0,0,2,2.2,0.0,0,0.0,0,89,2,0
Taleeq Robbins,146829,DI,TROY,9,1,0,318,59.7,0,5,123,99.2,2.4,3,0,2.8,1,130,129,6,1,67.8,0,4,40,100.0,5.0,2,7.5,1,42,42,5
Demarcus Smith,146830,DI,UAB,4,0,0,321,72.3,0,3,32,100.0,9.4,3,0,4.7,0,35,35,3,0,72.7,0,1,12,100.0,8.3,1,4.2,0,14,14,1
Tywone Malone Jr.,146832,DI,OHIO STATE,8,2,0,260,58.5,0,4,105,100.0,1.9,2,1,1.9,0,108,108,4,1,58.2,0,2,31,100.0,0.0,0,3.2,0,33,33,2
JJ Hawkins,146833,ED,SO MISS,9,0,0,296,68.7,4,13,129,93.9,10.9,14,1,8.9,3,147,138,20,0,71.0,3,4,51,100.0,15.7,8,8.8,1,57,57,8
John Lewis,146852,LB,W VIRGINIA,3,0,0,343,66.4,1,0,11,55.0,9.1,1,0,13.6,1,20,11,2,0,55.7,0,0,3,60.0,0.0,0,0.0,0,5,3,0
Nic Mitchell,146854,LB,MISS STATE,10,0,0,227,62.3,1,5,34,17.0,8.8,3,1,14.7,2,218,37,8,0,71.5,1,3,15,21.7,20.0,3,26.7,2,69,15,6
Ty Cooper,146856,ED,TULSA,9,1,0,320,63.2,1,4,144,90.3,6.9,10,1,3.1,2,165,149,7,0,69.6,0,3,44,95.9,15.9,7,8.0,2,49,47,5
Eldric Griffin,146859,S,LIBERTY,9,0,0,206,56.6,0,0,3,4.1,0.0,0,0,0.0,0,98,4,0,0,59.4,0,0,0,2.3,,0,,0,43,1,0
